answers,prompts,sleep_hours,ema
3,11,5.1,1
3,11,8.7,0
3,11,10.2,1
4,12,6.4,1
1,11,8.7,1
2,11,8.8,1
2,12,9.5,1
2,13,10.3,0
3,11,9.2,1
2,12,10.3,0
4,13,7.2,0
2,12,10.5,1
2,12,5.1,0
2,10,6.2,1
3,9,6.9,0
1,12,9.8,1
2,12,4.9,0
1,12,5.5,0
1,11,5.5,0
2,11,9.6,0
3,12,4.8,0
2,14,8.9,0
2,12,9.1,1
2,11,4.7,0
2,13,9.8,1
1,11,5.6,1
3,13,4.5,1
3,12,10,1
2,14,9.9,0
2,12,10.4,1
3,10,7.8,0
3,11,6.4,0
2,12,5,0
3,11,7.1,0
2,11,7.9,0
2,11,9.1,1
3,10,7.6,1
1,10,9.2,0
1,11,7.9,0
1,10,5.2,1
3,9,6.9,1
1,10,9,1
2,12,7.1,1
2,11,6.5,0
3,10,5.4,1
2,12,5.3,1
3,13,7.8,1
5,10,8.7,1
5,10,10.4,1
2,12,5.1,1
3,9,9,0
2,9,10.1,0
2,12,7.1,1
4,9,10.2,0
3,12,6.6,1
3,11,5,0
2,10,7.5,1
1,10,10.4,0
5,12,5.9,1
4,11,6.4,0
1,11,9.1,0
2,9,8.9,0
2,11,10.1,0
4,11,5.9,1
4,11,4.7,1
0,9,10.5,0
4,10,8.9,0
2,10,5.4,1
1,10,8.3,0
4,10,9.5,0
5,9,9.8,1
2,11,8.7,1
1,10,8,1
1,11,6.9,0
2,11,8.7,0
2,11,7,0
5,11,5.1,1
3,11,6.2,1
3,9,5.8,0
3,11,9.2,0
3,11,10.2,1
4,11,7,0
2,10,7.9,1
8,11,9.5,0
4,10,7.8,1
4,11,9.9,1
3,10,9.5,0
3,11,6.5,1
5,10,6.3,1
5,11,5.8,1
1,12,4.7,1
0,12,8.6,0
3,12,8.2,1
1,11,6.1,0
2,12,4.9,1
1,10,8.1,0
2,11,5.7,1
1,12,9.4,0
1,13,9,1
1,12,6.5,0
1,12,4.9,1
0,14,9.2,1
1,12,6.5,1
1,13,8,1
2,11,8.2,0
4,14,10.5,1
2,13,8.5,1
2,12,8.5,1
2,12,6.2,1
3,12,6.7,0
2,12,9.4,0
4,13,8.6,0
2,12,9.8,1
2,13,5.3,0
3,13,8.8,1
4,12,8.3,1
3,13,6.4,0
1,13,5,1
0,12,8.1,0
4,13,9.5,1
0,12,10.3,0
1,11,6.6,1
2,13,6.1,1
