participant_id,day,prompts,answers,sleep_hours,ema
1,1,11,3,5.1,1
1,2,11,3,8.7,0
1,3,11,3,10.2,1
1,4,12,4,6.4,1
1,5,11,1,8.7,1
1,6,11,2,8.8,1
1,7,12,2,9.5,1
1,8,13,2,10.3,0
1,9,11,3,9.2,1
1,10,12,2,10.3,0
1,11,13,4,7.2,0
1,12,12,2,10.5,1
1,13,12,2,5.1,0
1,14,10,2,6.2,1
1,15,9,3,6.9,0
1,16,12,1,9.8,1
1,17,12,2,4.9,0
1,18,12,1,5.5,0
1,19,11,1,5.5,0
1,20,11,2,9.6,0
1,21,12,3,4.8,0
1,22,14,2,8.9,0
1,23,12,2,9.1,1
1,24,11,2,4.7,0
1,25,13,2,9.8,1
1,26,11,1,5.6,1
1,27,13,3,4.5,1
1,28,12,3,10.0,1
1,29,14,2,9.9,0
1,30,12,2,10.4,1
2,1,10,3,7.8,0
2,2,11,3,6.4,0
2,3,12,2,5.0,0
2,4,11,3,7.1,0
2,5,11,2,7.9,0
2,6,11,2,9.1,1
2,7,10,3,7.6,1
2,8,10,1,9.2,0
2,9,11,1,7.9,0
2,10,10,1,5.2,1
2,11,9,3,6.9,1
2,12,10,1,9.0,1
2,13,12,2,7.1,1
2,14,11,2,6.5,0
2,15,10,3,5.4,1
2,16,12,2,5.3,1
2,17,13,3,7.8,1
2,18,10,5,8.7,1
2,19,10,5,10.4,1
2,20,12,2,5.1,1
2,21,9,3,9.0,0
2,22,9,2,10.1,0
2,23,12,2,7.1,1
2,24,9,4,10.2,0
2,25,12,3,6.6,1
2,26,11,3,5.0,0
2,27,10,2,7.5,1
2,28,10,1,10.4,0
2,29,12,5,5.9,1
2,30,11,4,6.4,0
3,1,11,1,9.1,0
3,2,9,2,8.9,0
3,3,11,2,10.1,0
3,4,11,4,5.9,1
3,5,11,4,4.7,1
3,6,9,0,10.5,0
3,7,10,4,8.9,0
3,8,10,2,5.4,1
3,9,10,1,8.3,0
3,10,10,4,9.5,0
3,11,9,5,9.8,1
3,12,11,2,8.7,1
3,13,10,1,8.0,1
3,14,11,1,6.9,0
3,15,11,2,8.7,0
3,16,11,2,7.0,0
3,17,11,5,5.1,1
3,18,11,3,6.2,1
3,19,9,3,5.8,0
3,20,11,3,9.2,0
3,21,11,3,10.2,1
3,22,11,4,7.0,0
3,23,10,2,7.9,1
3,24,11,8,9.5,0
3,25,10,4,7.8,1
3,26,11,4,9.9,1
3,27,10,3,9.5,0
3,28,11,3,6.5,1
3,29,10,5,6.3,1
3,30,11,5,5.8,1
4,1,12,1,4.7,1
4,2,12,0,8.6,0
4,3,12,3,8.2,1
4,4,11,1,6.1,0
4,5,12,2,4.9,1
4,6,10,1,8.1,0
4,7,11,2,5.7,1
4,8,12,1,9.4,0
4,9,13,1,9.0,1
4,10,12,1,6.5,0
4,11,12,1,4.9,1
4,12,14,0,9.2,1
4,13,12,1,6.5,1
4,14,13,1,8.0,1
4,15,11,2,8.2,0
4,16,14,4,10.5,1
4,17,13,2,8.5,1
4,18,12,2,8.5,1
4,19,12,2,6.2,1
4,20,12,3,6.7,0
4,21,12,2,9.4,0
4,22,13,4,8.6,0
4,23,12,2,9.8,1
4,24,13,2,5.3,0
4,25,13,3,8.8,1
4,26,12,4,8.3,1
4,27,13,3,6.4,0
4,28,13,1,5.0,1
4,29,12,0,8.1,0
4,30,13,4,9.5,1
5,1,12,0,10.3,0
5,2,11,1,6.6,1
5,3,13,2,6.1,1
5,4,12,1,4.9,0
5,5,14,0,4.7,1
5,6,12,2,6.7,0
5,7,12,1,7.3,0
5,8,12,1,6.7,0
5,9,14,3,10.5,1
5,10,12,3,6.1,1
5,11,12,2,5.1,0
5,12,11,1,6.9,0
5,13,13,3,7.1,1
5,14,12,2,7.6,0
5,15,12,1,10.1,0
5,16,12,4,8.8,0
5,17,13,2,9.3,1
5,18,13,2,5.6,0
5,19,11,2,5.0,0
5,20,12,3,5.4,0
5,21,13,3,4.5,1
5,22,12,4,7.1,0
5,23,11,0,7.7,0
5,24,14,1,9.3,0
5,25,10,1,8.2,0
5,26,11,3,5.9,0
5,27,12,1,8.2,0
5,28,13,2,5.7,1
5,29,13,3,6.6,1
5,30,11,2,8.1,0
6,1,12,5,8.7,0
6,2,11,7,7.6,0
6,3,10,7,4.8,1
6,4,8,8,8.1,1
6,5,11,7,5.6,0
6,6,12,5,9.1,1
6,7,12,9,7.3,0
6,8,11,5,7.9,1
6,9,12,5,9.0,1
6,10,8,6,6.5,1
6,11,11,5,6.8,1
6,12,10,7,7.1,0
6,13,11,8,5.5,0
6,14,11,7,8.5,0
6,15,14,7,6.4,1
6,16,14,7,5.3,1
6,17,12,3,6.9,0
6,18,13,6,7.3,0
6,19,11,4,5.9,0
6,20,10,3,8.9,0
6,21,11,7,8.9,0
6,22,12,6,6.5,0
6,23,14,9,9.6,0
6,24,11,5,6.3,0
6,25,9,7,10.3,0
6,26,11,4,8.3,0
6,27,12,8,5.3,1
6,28,12,7,7.1,0
6,29,10,7,9.9,1
6,30,12,6,9.2,1
7,1,12,5,10.4,1
7,2,11,3,9.2,1
7,3,11,3,8.8,0
7,4,9,3,10.0,1
7,5,10,5,8.9,0
7,6,11,6,5.9,0
7,7,10,4,10.6,0
7,8,10,1,10.0,0
7,9,12,4,9.2,1
7,10,13,7,6.3,0
7,11,11,8,6.1,1
7,12,12,5,8.8,0
7,13,12,6,8.0,0
7,14,11,3,9.1,1
7,15,11,5,6.9,1
7,16,11,5,5.4,0
7,17,13,1,5.7,0
7,18,10,2,6.4,1
7,19,12,1,9.8,1
7,20,12,6,5.0,0
7,21,12,5,8.0,0
7,22,11,2,8.0,0
7,23,11,3,10.0,0
7,24,11,6,5.0,0
7,25,12,7,7.0,0
7,26,11,6,5.6,0
7,27,10,4,10.6,1
7,28,10,6,6.4,0
7,29,11,5,8.6,1
7,30,10,6,5.4,0
8,1,8,6,9.7,0
8,2,10,4,7.6,0
8,3,11,6,9.9,1
8,4,10,8,7.4,1
8,5,10,7,6.2,1
8,6,12,7,8.5,1
8,7,10,6,8.2,0
8,8,13,8,8.5,0
8,9,10,8,9.2,0
8,10,12,5,8.3,1
8,11,10,8,6.7,1
8,12,10,10,7.9,1
8,13,9,6,9.4,0
8,14,8,7,5.4,0
8,15,10,10,9.4,1
8,16,10,8,6.5,0
8,17,10,6,8.0,1
8,18,11,7,8.3,0
8,19,11,8,9.1,0
8,20,10,7,5.5,1
8,21,10,8,7.6,1
8,22,10,7,5.6,0
8,23,10,7,9.0,1
8,24,9,3,8.3,0
8,25,9,6,9.1,0
8,26,10,7,6.8,0
8,27,11,5,7.0,0
8,28,10,7,10.3,1
8,29,9,10,5.7,0
8,30,12,7,6.1,1
9,1,13,6,4.5,1
9,2,13,7,9.3,0
9,3,12,5,8.3,1
9,4,11,5,7.8,1
9,5,13,5,5.5,0
9,6,11,5,8.1,1
9,7,12,6,8.3,1
9,8,14,6,5.8,1
9,9,11,7,7.6,0
9,10,14,4,10.0,1
9,11,12,5,9.7,1
9,12,14,3,6.5,1
9,13,13,5,8.7,1
9,14,11,1,8.5,0
9,15,12,5,7.3,1
9,16,12,5,8.8,1
9,17,11,2,8.0,1
9,18,12,6,9.1,0
9,19,14,6,7.2,1
9,20,12,7,10.0,1
9,21,11,3,9.1,1
9,22,13,5,6.4,0
9,23,12,6,8.1,0
9,24,11,5,8.0,1
9,25,13,5,7.1,1
9,26,11,4,9.8,1
9,27,11,5,7.4,0
9,28,15,5,5.4,0
9,29,11,5,5.7,1
9,30,10,7,8.1,0
10,1,13,3,6.2,1
10,2,6,1,7.2,0
10,3,9,4,8.0,1
10,4,11,2,4.7,0
10,5,11,5,7.4,0
10,6,10,5,6.6,0
10,7,9,4,5.8,0
10,8,8,3,8.0,0
10,9,7,4,10.0,1
10,10,11,4,7.7,1
10,11,9,0,8.6,0
10,12,13,3,9.2,0
10,13,9,4,9.5,1
10,14,9,3,9.4,1
10,15,8,4,10.3,0
10,16,13,2,9.3,1
10,17,11,4,8.9,0
10,18,9,4,7.2,0
10,19,10,4,8.0,0
10,20,8,4,5.3,0
10,21,8,4,5.9,1
10,22,8,3,8.0,1
10,23,7,4,6.8,0
10,24,11,3,5.0,1
10,25,8,2,7.2,0
10,26,7,4,9.6,1
10,27,10,4,5.0,1
10,28,10,4,6.8,0
10,29,10,6,8.3,0
10,30,10,4,5.0,0
11,1,14,3,10.6,0
11,2,13,5,7.3,0
11,3,14,3,9.5,1
11,4,12,6,7.1,1
11,5,15,8,8.2,0
11,6,12,5,5.5,1
11,7,12,8,7.7,1
11,8,13,8,6.4,1
11,9,12,9,6.1,1
11,10,12,5,8.7,1
11,11,13,6,6.6,0
11,12,13,6,5.2,1
11,13,13,4,7.7,1
11,14,12,5,5.9,0
11,15,11,7,5.1,0
11,16,12,5,5.9,1
11,17,12,3,6.6,0
11,18,12,5,10.1,0
11,19,12,7,9.9,0
11,20,12,5,8.2,0
11,21,13,8,6.5,1
11,22,12,8,7.7,0
11,23,13,5,8.0,1
11,24,13,4,7.4,1
11,25,12,6,5.1,0
11,26,12,6,5.8,0
11,27,13,8,7.0,0
11,28,13,4,7.1,0
11,29,11,8,9.9,1
11,30,12,6,5.2,1
12,1,11,3,6.4,0
12,2,13,3,7.0,0
12,3,9,1,10.1,1
12,4,14,3,8.9,1
12,5,12,2,7.0,1
12,6,9,1,9.1,1
12,7,12,3,4.7,0
12,8,10,5,5.4,0
12,9,10,1,6.5,1
12,10,12,3,9.0,0
12,11,12,4,8.7,1
12,12,14,0,7.7,0
12,13,12,3,7.7,1
12,14,12,2,10.2,1
12,15,13,2,5.5,1
12,16,12,3,9.2,0
12,17,14,1,8.1,1
12,18,10,1,6.4,0
12,19,11,1,7.8,1
12,20,11,4,6.5,1
12,21,13,2,9.6,1
12,22,9,1,7.9,1
12,23,13,1,5.8,0
12,24,14,2,7.0,1
12,25,11,3,9.5,0
12,26,11,2,7.1,0
12,27,13,1,9.0,0
12,28,10,1,7.0,1
12,29,9,0,7.2,1
12,30,14,5,9.5,0
13,1,10,6,9.9,0
13,2,9,6,6.0,1
13,3,12,4,6.7,1
13,4,9,6,9.8,1
13,5,13,5,4.7,1
13,6,12,3,6.5,1
13,7,11,4,7.7,0
13,8,12,5,5.5,0
13,9,12,3,7.8,0
13,10,14,3,5.4,0
13,11,11,5,9.5,1
13,12,10,2,6.1,1
13,13,10,3,6.7,0
13,14,14,4,4.5,1
13,15,11,4,8.6,1
13,16,10,4,6.2,1
13,17,10,4,6.1,1
13,18,12,5,9.8,0
13,19,9,3,10.1,0
13,20,11,3,4.9,0
13,21,9,4,5.7,1
13,22,10,2,5.3,0
13,23,12,3,5.0,1
13,24,12,4,9.3,0
13,25,10,4,7.9,1
13,26,12,2,9.3,1
13,27,11,4,5.1,1
13,28,9,7,9.2,0
13,29,11,5,8.9,1
13,30,13,2,10.0,1
14,1,11,3,4.8,1
14,2,11,1,7.0,0
14,3,11,4,10.2,1
14,4,10,2,8.3,0
14,5,11,0,5.0,1
14,6,11,3,4.6,1
14,7,10,1,8.3,1
14,8,11,3,5.8,1
14,9,12,3,7.6,0
14,10,10,2,4.6,0
14,11,10,1,7.0,0
14,12,12,4,9.1,1
14,13,10,1,7.2,0
14,14,11,1,6.2,0
14,15,12,0,9.1,0
14,16,11,4,6.1,1
14,17,11,1,5.4,1
14,18,11,3,9.6,1
14,19,10,2,7.7,0
14,20,10,5,5.9,1
14,21,9,2,4.9,1
14,22,10,2,5.2,1
14,23,11,2,7.1,0
14,24,9,4,9.2,0
14,25,11,3,5.5,0
14,26,12,2,8.1,0
14,27,11,5,7.9,1
14,28,10,3,6.7,1
14,29,12,3,8.6,1
14,30,9,1,9.7,0
15,1,11,6,7.7,1
15,2,9,7,10.4,0
15,3,8,6,7.1,0
15,4,10,7,8.2,1
15,5,13,5,4.6,0
15,6,8,5,5.7,0
15,7,10,5,9.5,1
15,8,11,9,5.1,0
15,9,14,7,7.2,0
15,10,10,5,8.6,0
15,11,11,8,8.8,1
15,12,10,6,7.2,0
15,13,10,6,10.0,0
15,14,9,6,10.0,0
15,15,10,6,10.2,1
15,16,10,8,5.1,1
15,17,9,6,6.7,1
15,18,10,8,6.0,1
15,19,11,7,7.5,1
15,20,10,5,7.7,0
15,21,12,6,8.0,0
15,22,9,7,7.0,0
15,23,10,7,6.6,1
15,24,10,6,9.7,1
15,25,4,6,8.8,1
15,26,9,6,8.7,1
15,27,12,7,8.4,0
15,28,9,7,8.3,0
